A0A6J5N5Z7	20
A0A513Q9S0	9
A0A650EES4	8
A0A514DGR2	5
A0A5Q2F871	5
A0A8F4MX76	5
A0A3T1CXE0	4
A0A5C1K3T9	4
K4RM63	4
S4VP33	4
A0A0B5JEK5	3
A0A1C9C546	3
A0A2I7RBG1	3
A0A2S1FYN1	3
A0A410TDX1	3
A0A481YYA9	3
A0A513QA86	3
A0A7M1RVJ3	3
A0A8S5M340	3
Q94MU6	3
UPI000009AE93	3
A0A0B5J7K0	2
A0A1B0XUM4	2
A0A1C8ZZ47	2
A0A1L3KMJ9	2
A0A1S5VFY0	2
A0A1V0M8G7	2
A0A1Z1NED9	2
A0A2S0SZ38	2
A0A345MUK2	2
A0A384WWT1	2
A0A3G4ZSK2	2
A0A3G4ZXW4	2
A0A4Y5UXU2	2
A0A5C0PVM1	2
A0A5Q2W5J0	2
A0A6B7ZF63	2
A0A6G8MY89	2
A0A6J5KGF0	2
A0A6J5LH17	2
A0A6J7X3X5	2
A0A6S4PD04	2
A0A7G7S0G2	2
A0A7S5RBT3	2
A0A7S5VJ45	2
A0A894YVT4	2
A0A8A1VF65	2
A0A8S5Q8R1	2
A0A8S5SQS6	2
A0A8S5UM23	2
A0A8S5UZI2	2
A3QMI3	2
A7ITT2	2
B3VM64	2
G4YAB4	2
G8DG05	2
G8DGQ1	2
H7BW97	2
K4IBL1	2
O90834	2
Q19Y27	2
S5VMA1	2
X5L4P3	2
