A0A067ZJ35	A0A067ZJ35
A0A068CDJ3	A0A068CDJ3
A0A068EMF8	A0A068EMF8
A0A068EPG8	A0A068EPG8
A0A075BSR2	A0A075BSR2
A0A076FH18	A0A076FH18
A0A076VAH8	A0A076VAH8
A0A088FRJ5	A0A088FRJ5
A0A097EWI5	A0A097EWI5
A0A097P136	A0A097P136
A0A0A7H9X5	A0A0A7H9X5
A0A0A7HAR4	A0A0A7HAR4
A0A0B5IW88	A0A0B5IW88
A0A0B5J7K0	A0A0B5J7K0
A0A0B5J7K0	A0A7S5UTB7
A0A0B5J873	A0A0B5J873
A0A0B5J8S8	A0A0B5J8S8
A0A0B5J975	A0A0B5J975
A0A0B5JBY9	A0A0B5JBY9
A0A0B5JEK5	A0A0B5JEK5
A0A0B5JEK5	A0A481Z6W6
A0A0B5JEK5	A0A514DD61
A0A0F6R5Q2	A0A0F6R5Q2
A0A0F6TH86	A0A0F6TH86
A0A0F6YQ80	A0A0F6YQ80
A0A0F7L2X8	A0A0F7L2X8
A0A0F7L3H4	A0A0F7L3H4
A0A0F7L3S9	A0A0F7L3S9
A0A0F7L3U3	A0A0F7L3U3
A0A0F7L4A7	A0A0F7L4A7
A0A0F7L4D3	A0A0F7L4D3
A0A0F7L4I7	A0A0F7L4I7
A0A0F7L563	A0A0F7L563
A0A0F7L675	A0A0F7L675
A0A0F7L6B4	A0A0F7L6B4
A0A0F7L6R0	A0A0F7L6R0
A0A0F7L7N7	A0A0F7L7N7
A0A0F7L8J7	A0A0F7L8J7
A0A0F7L8Z2	A0A0F7L8Z2
A0A0F7L981	A0A0F7L981
A0A0K1L7A3	A0A0K1L7A3
A0A0K8IWJ7	A0A0K8IWJ7
A0A0M4S2J1	A0A0M4S2J1
A0A0N7CD60	A0A0N7CD60
A0A0N7CPE3	A0A0N7CPE3
A0A0N9NK81	A0A0N9NK81
A0A0N9QAA0	A0A0N9QAA0
A0A0P0YMT5	A0A0P0YMT5
A0A125R922	A0A125R922
A0A142FGC9	A0A142FGC9
A0A165YEV4	A0A165YEV4
A0A172Q0R5	A0A172Q0R5
A0A190WHE6	A0A190WHE6
A0A1B0VMJ6	A0A1B0VMJ6
A0A1B0XUM4	A0A1B0XUM4
A0A1B0XUM4	A0A516LLH5
A0A1B1IPE7	A0A1B1IPE7
A0A1B1IQ75	A0A1B1IQ75
A0A1B1IRW9	A0A1B1IRW9
A0A1B1IUL2	A0A1B1IUL2
A0A1B1PEB7	A0A1B1PEB7
A0A1B2ITM5	A0A1B2ITM5
A0A1B5FM26	A0A1B5FM26
A0A1C3NFL1	A0A1C3NFL1
A0A1C8ZZ47	A0A1C8ZZ47
A0A1C8ZZ47	A0A068QKI9
A0A1C9C546	A0A1C9C546
A0A1C9C546	A0A2P1JUN7
A0A1C9C546	A0A6N1NJX6
A0A1D8KNL8	A0A1D8KNL8
A0A1D8KPF2	A0A1D8KPF2
A0A1J0MGY9	A0A1J0MGY9
A0A1L3IZS5	A0A1L3IZS5
A0A1L3KMJ9	A0A1L3KMJ9
A0A1L3KMJ9	A0A9E8MBD8
A0A1L7N1F1	A0A1L7N1F1
A0A1P8DIX4	A0A1P8DIX4
A0A1P8SW77	A0A1P8SW77
A0A1S5VFY0	A0A1S5VFY0
A0A1S5VFY0	A0A1V0SIF9
A0A1S5VYE1	A0A1S5VYE1
A0A1S6R5K7	A0A1S6R5K7
A0A1V0M8G7	A0A1V0M8G7
A0A1V0M8G7	A0A8K1XFD1
A0A1V0SAM1	A0A1V0SAM1
A0A1V0SDF0	A0A1V0SDF0
A0A1V0SDU6	A0A1V0SDU6
A0A1V0SF98	A0A1V0SF98
A0A1V0SF98	A0A1V0SA33
A0A1V0SFE9	A0A1V0SFE9
A0A1V0SJ19	A0A1V0SJ19
A0A1V0SJ19	A0A8S5SX48
A0A1V0SJ19	A0A1V0SHX5
